LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Mathematics,1267239,84799,462,26,490,458,483
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Reading,1267239,84686,456,27,486,469,499
2010-11,622,Carroll County,3050,Bowdon High School,All Students,Writing,1267239,84548,457,26,474,451,482
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Combined,1267239,84678,458,172,1451,1378,1377
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Mathematics,1267239,84799,462,173,490,458,462
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Reading,1267239,84686,456,172,486,469,467
2010-11,622,Carroll County,5054,Villa Rica High School,All Students,Writing,1267239,84548,457,171,474,451,449
2010-11,623,Catoosa County,109,Heritage High School,All Students,Combined,1267239,84678,243,133,1451,1492,1473
2010-11,623,Catoosa County,109,Heritage High School,All Students,Mathematics,1267239,84799,243,134,490,501,493
2010-11,623,Catoosa County,109,Heritage High School,All Students,Reading,1267239,84686,243,132,486,504,497
2010-11,623,Catoosa County,109,Heritage High School,All Students,Writing,1267239,84548,242,134,474,487,484
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Combined,1267239,84678,243,36,1451,1492,1515
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Mathematics,1267239,84799,243,36,490,501,495
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Reading,1267239,84686,243,36,486,504,515
2010-11,623,Catoosa County,1052,Lakeview-Fort Oglethorpe High School,All Students,Writing,1267239,84548,242,36,474,487,505
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Combined,1267239,84678,243,73,1451,1492,1514
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Mathematics,1267239,84799,243,73,490,501,517
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Reading,1267239,84686,243,75,486,504,512
2010-11,623,Catoosa County,4052,Ringgold High School,All Students,Writing,1267239,84548,242,72,474,487,485
2010-11,624,Charlton County,287,Charlton County High School,All Students,Combined,1267239,84678,75,75,1451,1256,1256
2010-11,624,Charlton County,287,Charlton County High School,All Students,Mathematics,1267239,84799,75,75,490,433,433
2010-11,624,Charlton County,287,Charlton County High School,All Students,Reading,1267239,84686,75,75,486,422,422
2010-11,624,Charlton County,287,Charlton County High School,All Students,Writing,1267239,84548,74,74,474,401,401
2010-11,625,Chatham County,101,Johnson High School,All Students,Combined,1267239,84678,1678,233,1451,1323,1303
2010-11,625,Chatham County,101,Johnson High School,All Students,Mathematics,1267239,84799,1684,233,490,441,433
2010-11,625,Chatham County,101,Johnson High School,All Students,Reading,1267239,84686,1677,234,486,448,447
2010-11,625,Chatham County,101,Johnson High School,All Students,Writing,1267239,84548,1673,232,474,433,424
2010-11,625,Chatham County,108,Early College Program,All Students,Combined,1267239,84678,1678,29,1451,1323,1321
2010-11,625,Chatham County,108,Early College Program,All Students,Mathematics,1267239,84799,1684,29,490,441,425
2010-11,625,Chatham County,108,Early College Program,All Students,Reading,1267239,84686,1677,29,486,448,453
2010-11,625,Chatham County,108,Early College Program,All Students,Writing,1267239,84548,1673,30,474,433,443
2010-11,625,Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Combined,1267239,84678,1678,15,1451,1323,1025
2010-11,625,Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Mathematics,1267239,84799,1684,15,490,441,359
2010-11,625,Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Reading,1267239,84686,1677,15,486,448,337
2010-11,625,Chatham County,110,The School of Law and Criminal Justice at Savannah High,All Students,Writing,1267239,84548,1673,15,474,433,329
2010-11,625,Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Combined,1267239,84678,1678,159,1451,1323,1061
2010-11,625,Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Mathematics,1267239,84799,1684,159,490,441,356
2010-11,625,Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Reading,1267239,84686,1677,158,486,448,355
2010-11,625,Chatham County,210,The School of Liberal Studies at Savannah High,All Students,Writing,1267239,84548,1673,159,474,433,351
2010-11,625,Chatham County,411,Islands High School,All Students,Combined,1267239,84678,1678,80,1451,1323,1367
2010-11,625,Chatham County,411,Islands High School,All Students,Mathematics,1267239,84799,1684,79,490,441,449
2010-11,625,Chatham County,411,Islands High School,All Students,Reading,1267239,84686,1677,78,486,448,469
2010-11,625,Chatham County,411,Islands High School,All Students,Writing,1267239,84548,1673,82,474,433,450
2010-11,625,Chatham County,499,Savannah Arts Academy,All Students,Combined,1267239,84678,1678,308,1451,1323,1650
2010-11,625,Chatham County,499,Savannah Arts Academy,All Students,Mathematics,1267239,84799,1684,313,490,441,538
2010-11,625,Chatham County,499,Savannah Arts Academy,All Students,Reading,1267239,84686,1677,308,486,448,566
2010-11,625,Chatham County,499,Savannah Arts Academy,All Students,Writing,1267239,84548,1673,304,474,433,545
2010-11,625,Chatham County,2052,Beach High School,All Students,Combined,1267239,84678,1678,109,1451,1323,1102
2010-11,625,Chatham County,2052,Beach High School,All Students,Mathematics,1267239,84799,1684,109,490,441,376
2010-11,625,Chatham County,2052,Beach High School,All Students,Reading,1267239,84686,1677,108,486,448,370
2010-11,625,Chatham County,2052,Beach High School,All Students,Writing,1267239,84548,1673,109,474,433,357
2010-11,625,Chatham County,3056,Groves High School,All Students,Combined,1267239,84678,1678,228,1451,1323,1179
2010-11,625,Chatham County,3056,Groves High School,All Students,Mathematics,1267239,84799,1684,230,490,441,397
2010-11,625,Chatham County,3056,Groves High School,All Students,Reading,1267239,84686,1677,227,486,448,396
2010-11,625,Chatham County,3056,Groves High School,All Students,Writing,1267239,84548,1673,226,474,433,385
2010-11,625,Chatham County,5060,Jenkins High School,All Students,Combined,1267239,84678,1678,314,1451,1323,1356
2010-11,625,Chatham County,5060,Jenkins High School,All Students,Mathematics,1267239,84799,1684,314,490,441,457
2010-11,625,Chatham County,5060,Jenkins High School,All Students,Reading,1267239,84686,1677,316,486,448,458
2010-11,625,Chatham County,5060,Jenkins High School,All Students,Writing,1267239,84548,1673,312,474,433,441
2010-11,625,Chatham County,5070,Windsor Forest High School,All Students,Combined,1267239,84678,1678,202,1451,1323,1292
2010-11,625,Chatham County,5070,Windsor Forest High School,All Students,Mathematics,1267239,84799,1684,201,490,441,437
2010-11,625,Chatham County,5070,Windsor Forest High School,All Students,Reading,1267239,84686,1677,202,486,448,429
2010-11,625,Chatham County,5070,Windsor Forest High School,All Students,Writing,1267239,84548,1673,202,474,433,426
2010-11,625,Chatham County,6595,Scott Alternative Learning Center,All Students,Combined,1267239,84678,1678,2,1451,1323,
2010-11,625,Chatham County,6595,Scott Alternative Learning Center,All Students,Mathematics,1267239,84799,1684,2,490,441,
2010-11,625,Chatham County,6595,Scott Alternative Learning Center,All Students,Reading,1267239,84686,1677,2,486,448,
2010-11,625,Chatham County,6595,Scott Alternative Learning Center,All Students,Writing,1267239,84548,1673,2,474,433,
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Combined,1267239,84678,59,59,1451,1264,1264
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Mathematics,1267239,84799,59,59,490,426,426
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Reading,1267239,84686,59,59,486,425,425
2010-11,626,Chattahoochee County,206,Chattahoochee County High School,All Students,Writing,1267239,84548,58,58,474,413,413
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Combined,1267239,84678,61,61,1451,1392,1392
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Mathematics,1267239,84799,60,60,490,460,460
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Reading,1267239,84686,61,61,486,473,473
2010-11,627,Chattooga County,1050,Chattooga High School,All Students,Writing,1267239,84548,61,61,474,459,459
2010-11,628,Cherokee County,106,Creekview High School,All Students,Combined,1267239,84678,1841,380,1451,1588,1599
2010-11,628,Cherokee County,106,Creekview High School,All Students,Mathematics,1267239,84799,1850,382,490,536,539
2010-11,628,Cherokee County,106,Creekview High School,All Students,Reading,1267239,84686,1846,380,486,531,532
2010-11,628,Cherokee County,106,Creekview High School,All Students,Writing,1267239,84548,1828,379,474,520,528
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Combined,1267239,84678,1841,10,1451,1588,1719
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Mathematics,1267239,84799,1850,10,490,536,562
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Reading,1267239,84686,1846,11,486,531,583
2010-11,628,Cherokee County,115,River Ridge High School,All Students,Writing,1267239,84548,1828,10,474,520,574
2010-11,628,Cherokee County,176,Etowah High School,All Students,Combined,1267239,84678,1841,362,1451,1588,1621
2010-11,628,Cherokee County,176,Etowah High School,All Students,Mathematics,1267239,84799,1850,360,490,536,549
2010-11,628,Cherokee County,176,Etowah High School,All Students,Reading,1267239,84686,1846,366,486,531,544
2010-11,628,Cherokee County,176,Etowah High School,All Students,Writing,1267239,84548,1828,361,474,520,528
2010-11,628,Cherokee County,191,Sequoyah High School,All Students,Combined,1267239,84678,1841,441,1451,1588,1556
2010-11,628,Cherokee County,191,Sequoyah High School,All Students,Mathematics,1267239,84799,1850,443,490,536,523
2010-11,628,Cherokee County,191,Sequoyah High School,All Students,Reading,1267239,84686,1846,445,486,531,519
2010-11,628,Cherokee County,191,Sequoyah High School,All Students,Writing,1267239,84548,1828,434,474,520,514
2010-11,628,Cherokee County,194,Polaris Evening School,All Students,Combined,1267239,84678,1841,7,1451,1588,
2010-11,628,Cherokee County,194,Polaris Evening School,All Students,Mathematics,1267239,84799,1850,7,490,536,
2010-11,628,Cherokee County,194,Polaris Evening School,All Students,Reading,1267239,84686,1846,7,486,531,
2010-11,628,Cherokee County,194,Polaris Evening School,All Students,Writing,1267239,84548,1828,7,474,520,
2010-11,628,Cherokee County,197,Woodstock High School,All Students,Combined,1267239,84678,1841,440,1451,1588,1581
2010-11,628,Cherokee County,197,Woodstock High School,All Students,Mathematics,1267239,84799,1850,444,490,536,536
2010-11,628,Cherokee County,197,Woodstock High School,All Students,Reading,1267239,84686,1846,438,486,531,529
2010-11,628,Cherokee County,197,Woodstock High School,All Students,Writing,1267239,84548,1828,439,474,520,516
2010-11,628,Cherokee County,5050,Cherokee High School,All Students,Combined,1267239,84678,1841,197,1451,1588,1596
